新闻,#genre#
TVBS欢乐,http://kaniptv.com/xz/xz_9bbbdd7f20/wwkds.php?id=tvbshl
八大第一,http://kaniptv.com/xz/xz_9bbbdd7f20/wwkds.php?id=bddy
八大戏剧,http://kaniptv.com/xz/xz_9bbbdd7f20/wwkds.php?id=bdxj
八大娱乐,http://kaniptv.com/xz/xz_9bbbdd7f20/wwkds.php?id=bdyl
八大综合,http://kaniptv.com/xz/xz_9bbbdd7f20/wwkds.php?id=bdzh
博斯高球2,http://kaniptv.com/xz/xz_9bbbdd7f20/wwkds.php?id=bsgqt2
博斯网球,http://kaniptv.com/xz/xz_9bbbdd7f20/wwkds.php?id=bswqt
博斯无限,http://kaniptv.com/xz/xz_9bbbdd7f20/wwkds.php?id=bswxt
博斯运动1,http://kaniptv.com/xz/xz_9bbbdd7f20/wwkds.php?id=bsyd1
博斯运动2,http://kaniptv.com/xz/xz_9bbbdd7f20/wwkds.php?id=bsyd2
大爱,http://kaniptv.com/xz/xz_9bbbdd7f20/wwkds.php?id=da
东森电影,http://kaniptv.com/xz/xz_9bbbdd7f20/wwkds.php?id=dsdy
东森戏剧,http://kaniptv.com/xz/xz_9bbbdd7f20/wwkds.php?id=dsxj
东森洋片,http://kaniptv.com/xz/xz_9bbbdd7f20/wwkds.php?id=dsyp
东森呦呦,http://kaniptv.com/xz/xz_9bbbdd7f20/wwkds.php?id=yytv
东森综合,http://kaniptv.com/xz/xz_9bbbdd7f20/wwkds.php?id=dszh
公视台语,http://kaniptv.com/xz/xz_9bbbdd7f20/wwkds.php?id=gsty
好莱坞,http://kaniptv.com/xz/xz_9bbbdd7f20/wwkds.php?id=hlwd
好消息2,http://kaniptv.com/xz/xz_9bbbdd7f20/wwkds.php?id=good2
华视,http://kaniptv.com/xz/xz_9bbbdd7f20/wwkds.php?id=hs
华艺中文,http://kaniptv.com/xz/xz_9bbbdd7f20/wwkds.php?id=hyzwt
靖天国际,http://kaniptv.com/xz/xz_9bbbdd7f20/wwkds.php?id=jtgh
靖天卡通,http://kaniptv.com/xz/xz_9bbbdd7f20/wwkds.php?id=jtkt
龙华经典,http://kaniptv.com/xz/xz_9bbbdd7f20/wwkds.php?id=lhjd
龙华偶像,http://kaniptv.com/xz/xz_9bbbdd7f20/wwkds.php?id=lhox
龙华戏剧,http://kaniptv.com/xz/xz_9bbbdd7f20/wwkds.php?id=lhxj
龙祥时代,http://kaniptv.com/xz/xz_9bbbdd7f20/wwkds.php?id=lxsd
美亚电影,http://kaniptv.com/xz/xz_9bbbdd7f20/wwkds.php?id=mydy
民视,http://kaniptv.com/xz/xz_9bbbdd7f20/wwkds.php?id=ms
民视台湾,http://kaniptv.com/xz/xz_9bbbdd7f20/wwkds.php?id=mstwt
三立都会,http://kaniptv.com/xz/xz_9bbbdd7f20/wwkds.php?id=sldh
三立台湾,http://kaniptv.com/xz/xz_9bbbdd7f20/wwkds.php?id=sltw
三立戏剧,http://kaniptv.com/xz/xz_9bbbdd7f20/wwkds.php?id=slxj
三立综合,http://kaniptv.com/xz/xz_9bbbdd7f20/wwkds.php?id=slzh
台视综合,http://kaniptv.com/xz/xz_9bbbdd7f20/wwkds.php?id=tszh
天映频道,http://kaniptv.com/xz/xz_9bbbdd7f20/wwkds.php?id=typd
纬来精采,http://kaniptv.com/xz/xz_9bbbdd7f20/wwkds.php?id=wljc
纬来日本,http://kaniptv.com/xz/xz_9bbbdd7f20/wwkds.php?id=wljp
纬来体育,http://kaniptv.com/xz/xz_9bbbdd7f20/wwkds.php?id=wlty
纬来戏剧,http://kaniptv.com/xz/xz_9bbbdd7f20/wwkds.php?id=wlxj
纬来育乐,http://kaniptv.com/xz/xz_9bbbdd7f20/wwkds.php?id=wlyl
纬来综合,http://kaniptv.com/xz/xz_9bbbdd7f20/wwkds.php?id=wlzh
亚洲美食,http://kaniptv.com/xz/xz_9bbbdd7f20/wwkds.php?id=afc
中视,http://kaniptv.com/xz/xz_9bbbdd7f20/wwkds.php?id=zs
中天亚洲,http://kaniptv.com/xz/xz_9bbbdd7f20/wwkds.php?id=ztyz
中天娱乐,http://kaniptv.com/xz/xz_9bbbdd7f20/wwkds.php?id=ztyl
中天综合,http://kaniptv.com/xz/xz_9bbbdd7f20/wwkds.php?id=ztzh
